# name          X(m)             Y(m)           Z(m)          VX(m/y)      VY(m/y)       VZ(m/y)    epoch      flag
FORT_ORD   -2697027.6869   -4354392.7821    3788078.5747     -0.03648      0.02068      0.03535     57023    ITRF2020
FORTORDS   -2699841.1468   -4359126.5267    3781051.9475     -0.03648      0.02068      0.03535     57023    ITRF2020
SANPAULA   -2554478.0498   -4608627.7627    3582139.4376     -0.05476     -0.01516      0.04343     57023    ITRF2020
BLKBUTTE   -2306307.3883   -4787914.3389    3515736.1918     -0.01903      0.00345     -0.00827     57023    ITRF2020
DEADMANL   -2336821.3374   -4732589.1587    3570331.4811     -0.06480     -0.08068      0.05513     57023    ITRF2020
ELY        -2077236.6079   -4486712.4508    4018753.3125     -0.01339      0.01047     -0.01655     57023    ITRF2020
QUINCY     -2517231.4652   -4198595.1726    4076531.2742     -0.02425      0.00168      0.00034     57023    ITRF2020
MAMMOTHL   -2448247.0647   -4426737.7759    3875435.5455     -0.01441      0.01939     -0.01167     57023    ITRF2020
OVRO_130   -2409601.1838   -4478349.4042    3838603.1360     -0.01819      0.00680     -0.00379     57023    ITRF2020
OV-VLBA    -2409150.4363   -4478573.1029    3838617.3264     -0.01819      0.00680     -0.00379     57023    ITRF2020
HAYSTACK    1492404.4509   -4457266.5370    4296881.8345     -0.01556     -0.00112      0.00391     57023    ITRF2020
WESTFORD    1492206.3102   -4458130.5340    4296015.6068     -0.01556     -0.00112      0.00391     57023    ITRF2020
NRAO_140     882879.6305   -4924482.3298    3944130.7373     -0.01437     -0.00101      0.00270     57023    ITRF2020
NRAO85_3     882325.3038   -4925138.0114    3943397.7304     -0.01437     -0.00101      0.00270     57023    ITRF2020
NRAO85_1     883555.2927   -4924490.9080    3943962.0135     -0.01437     -0.00101      0.00270     57023    ITRF2020
NRAO20       883772.4899   -4924385.6113    3944042.5407     -0.01437     -0.00101      0.00270     57023    ITRF2020
HRAS_085   -1324211.2205   -5332023.1242    3232118.2623     -0.01255      0.00070     -0.00485     57023    ITRF2020
FTD_7900   -1324228.2100   -5332063.0410    3232022.9295     -0.01255      0.00070     -0.00485     57023    ITRF2020
FD-VLBA    -1324009.3502   -5332181.9482    3231962.3802     -0.01255      0.00070     -0.00485     57023    ITRF2020
MACGO12M   -1330788.4000   -5328106.5681    3236427.5138     -0.01255      0.00070     -0.00485     57023    ITRF2020
OCOTILLO   -2335601.0059   -4832244.2602    3434392.5610      0.00000     -0.00000     -0.00000     57023    ITRF2020
GORF7102    1130686.2398   -4831353.0299    3994110.9747     -0.01504      0.00017      0.00228     57023    ITRF2020
GGAO7108    1130794.2658   -4831232.9019    3994216.2808     -0.01504      0.00017      0.00228     57023    ITRF2020
GGAO12M     1130729.9531   -4831245.9510    3994228.2748     -0.01504      0.00017      0.00228     57023    ITRF2020
BLOOMIND     302384.1139   -4941699.0351    4007908.4713     -0.01480      0.00126     -0.00014     57023    ITRF2020
CARROLGA     453520.6988   -5300506.7848    3507207.4523      0.00000     -0.00000     -0.00000     57023    ITRF2020
LEONRDOK    -522231.5083   -5145676.8878    3720152.3748     -0.00000      0.00000      0.00000     57023    ITRF2020
MILESMON   -1204438.9435   -4239211.0963    4596266.0571      0.00000     -0.00000     -0.00000     57023    ITRF2020
PIETOWN    -1640953.9654   -5014816.0197    3575411.7754     -0.01405      0.00023     -0.00526     57023    ITRF2020
SEATTLE1   -2295347.9299   -3638029.4424    4693408.6302      0.00006     -0.00011      0.00002     57023    ITRF2020
LA-VLBA    -1449752.6110   -4975298.5705    3709123.8302     -0.01414      0.00073     -0.00507     57023    ITRF2020
NL-VLBA     -130872.5284   -4762317.0890    4226850.9946     -0.01528      0.00143     -0.00227     57023    ITRF2020
KP-VLBA    -1995678.8648   -5037317.6922    3357328.0063     -0.01344      0.00083     -0.00655     57023    ITRF2020
HN-VLBA     1446374.8347   -4447939.6797    4322306.1904     -0.01554     -0.00161      0.00422     57023    ITRF2020
BR-VLBA    -2112065.2346   -3705356.5065    4726813.6594     -0.01449      0.00049     -0.00760     57023    ITRF2020
MK-VLBA    -5464075.2010   -2495247.9843    2148297.4114     -0.01460      0.06236      0.03299     57023    ITRF2020
HATCREEK   -2523970.3960   -4123506.2371    4147752.4798     -0.01957      0.00507     -0.00426     57023    ITRF2020
MARPOINT    1106629.0327   -4882907.1851    3938086.9797     -0.01503      0.00027      0.00081     57023    ITRF2020
FLAGSTAF   -1923993.0815   -4850854.7319    3658589.2446     -0.01776     -0.00764     -0.00209     57023    ITRF2020
VERNAL     -1631473.5951   -4589129.0311    4106759.7311     -0.01362     -0.00431     -0.00542     57023    ITRF2020
YUMA       -2196778.1958   -4887336.9688    3448425.0097     -0.01285      0.00351     -0.00844     57023    ITRF2020
PLATTVIL   -1240708.4856   -4720454.3721    4094481.5119     -0.01560     -0.00045     -0.00541     57023    ITRF2020
MON_PEAK   -2386290.3226   -4802345.9328    3444884.3952     -0.03680      0.02397      0.01560     57023    ITRF2020
VLA-N8     -1601147.7268   -5041733.5039    3555235.7662     -0.00000      0.00000      0.00000     57023    ITRF2020
RICHMOND     961257.8687   -5674090.0339    2740533.8331     -0.01016      0.00051      0.00183     57023    ITRF2020
MIAMI20      961255.1493   -5674092.5896    2740533.8287     -0.01016      0.00051      0.00183     57023    ITRF2020
AGGO        2765116.6743   -4449233.7435   -3626420.5964      0.00212     -0.00804      0.00822     57023    ITRF2020
FORTLEZA    4985369.9986   -3955020.3933    -428472.0594     -0.00235     -0.00369      0.01239     57023    ITRF2020
SANTIA12    1769693.5349   -5044504.6427   -3468434.7525      0.02313     -0.00571      0.01175     57023    ITRF2020
SEST        1838237.8440   -5258699.2549   -3100588.8965     -0.00254      0.00044     -0.00210     57023    ITRF2020
TIGOCONC    1492051.5202   -4887961.4721   -3803541.6274      0.02357      0.00371      0.02197     57023    ITRF2020
#TIGOCONC    1492054.6028   -4887961.0284   -3803541.1573      0.03593     -0.00201      0.01678     57023    ITRF2020
BERMUDA     2307209.5340   -4874215.8322    3394317.8845     -0.00090     -0.00055     -0.00028     57023    ITRF2020
SC-VLBA     2607848.6564   -5488069.5232    1932739.7601      0.00754      0.00913      0.01242     57023    ITRF2020
TIDBIN64   -4460895.3197    2682361.5230   -3674747.4932     -0.03610      0.00036      0.04569     57023    ITRF2020
DSS45      -4460936.0514    2682765.7139   -3674380.3667     -0.03610      0.00036      0.04569     57023    ITRF2020
YARRA12M   -2388896.2302    5043350.0138   -3078590.7566     -0.04652      0.00826      0.05061     57023    ITRF2020
PARKES     -4554232.6305    2816758.9102   -3454034.9788     -0.03705     -0.00099      0.04560     57023    ITRF2020
HOBART26   -3950237.4373    2522347.6985   -4311561.7990     -0.03880      0.00788      0.04101     57023    ITRF2020
HOBART12   -3949990.8585    2522421.2213   -4311707.9437     -0.03880      0.00788      0.04101     57023    ITRF2020
WARK12M    -5115324.4728     477843.2913   -3767192.7669     -0.02211     -0.00295      0.03391     57023    ITRF2020
KWAJAL26   -6143535.8166    1363999.1178    1034708.1005      0.02499      0.07191      0.02471     57023    ITRF2020
KATH12M    -4147354.7208    4581542.3693   -1573303.1055     -0.03552     -0.01415      0.05639     57023    ITRF2020
SYOWA       1766194.2119    1460410.9106   -5932273.3282      0.00456     -0.00081     -0.00008     57023    ITRF2020
OHIGGINS    1525833.3436   -2432463.6854   -5676174.4861      0.01794     -0.00124      0.00037     57023    ITRF2020
JILIN12    -2730771.8303    3713280.1453    4394196.3111     -0.02537     -0.00730     -0.00960     58946    NTSC
KASHI12     1190830.2840    4786201.4639    4032514.4494     -0.03343     -0.00475      0.01307     59366    NTSC
