%name       obsNum      type     dRa(mas)     dDe(mas)
1656+602         5      none       0.2180      -0.0492
1658-189         6      none      -0.0346      -0.0218
1704+122         5      none      -0.0243      -0.0383
1718+481         5      none       0.3166       0.1394
1723+658         5      none       0.1031      -0.0740
1723+051         5      none       0.0016       0.0923
1732+081         5      none      -0.1642       0.2058
1744+260         5      none       0.0548       0.0210
1753+731         5      none       0.1935      -0.0139
1803+172         5      none      -0.0198       0.0993
1824+578         5      none       0.0806      -0.0601
1831+050         5      none       0.0069       0.1215
1914-212         7      none      -0.2091       0.4169
1923-101         5      none      -0.6367      -1.3165
1935-179         6      none       0.0523      -0.1478
1942+722         5      none       1.8026      -0.0484
2000-045         5      none      -0.0317      -0.0823
2020-015         5      none       0.0329      -0.0652
2027-052         5      none       0.0065      -0.0638
2034-248         6      none       0.1553      -0.2040
2037-172         6      none       0.0136      -0.6438
2041+342         5      none       0.0534       0.1011
2051+350         5      none      -0.0779       0.1913
2102+003         5      none       0.0953       0.4478
2136-190         8      none      -0.1385       0.1447
2139-232         5      none      -0.0269       0.0174
2144+042         5      none      -0.0264      -0.0287
2153-119         6      none      -0.1165       0.0738
2207+741         5      none       0.0236       0.0720
2215+150       390    define       0.0200      -0.0263
2220+134         5      none       0.0181       0.0506
2227-136         9      none       0.0058       0.0149
2234-253         5      none       0.0778      -0.3271
2236-221         5      none       0.2082       0.2909
2243-081         6      none       0.0401       0.0660
2249-210         5      none       0.0732      -0.2992
2250+023         6      none      -0.9012       0.4861
2257+103         5      none       0.1068      -0.3051
2304+824         5      none       1.2927      -0.0729
2316+862         4      none       2.2862      -0.2197
2318+182         5      none      -0.0579      -0.0520
2321-215         5      none      -0.0068      -1.5280
2325+192         5      none      -0.1060      -0.2133
2341+697         5      none       0.0364       0.0440
2350+395         5      none      -0.0833       0.1133
0015-054         7      none       0.0029      -0.1330
0034+078         7      none      -0.1040       0.0566
0057+334         5      none       0.1253       0.1254
0109-135         6      none       0.0592       0.1321
0122-260         5      none       0.0968      -0.2454
0134+215         5      none      -0.2496      -0.1466
0137-158         5      none      -0.0786      -0.1675
0148+250         5      none       0.1312      -0.2416
0158-141         5      none      -0.0980       0.1110
0202+145         8      none       0.0683      -0.2920
0216+472         5      none      -0.0753      -0.0483
0225+419         6      none       0.2802       0.0920
0231+045         5      none       0.1999      -0.1295
0242+131         9      none      -0.0339       0.0222
0250+178         7      none      -0.1222      -0.4265
0256-256         5      none      -0.0214       0.2758
0258-184         5      none       0.2156       0.0961
0319+396         7      none      -0.0021      -0.1638
0340-140         5      none       0.0647      -0.7916
0356+278         5      none      -0.0026      -0.0920
0406+065         5      none      -0.0378       0.1117
0447-010         7      none       0.0674      -0.0499
0455-183         5      none       0.0832      -0.0478
0503+216         7      none       0.1661      -0.1350
0509+293         5      none      -0.0606       0.1379
0514+074         5      none       0.6016      -1.2469
0515-179         5      none       0.0935      -0.0684
0520-165         5      none       0.0417      -0.1822
0527-053         5      none      -0.1379      -0.3255
0533+097         7      none       0.5378      -0.2579
0532+826         6      none      -0.5663       0.0401
0547-278         5      none       0.0725       0.1832
0551-086         5      none       0.0234       0.3227
0609-119         5      none      -0.0942      -0.4166
0633-211         5      none       0.1135       0.0511
0627+814         6      none      -1.8107      -0.0301
0603+882         5      none      -0.3221       0.2111
0639+352         5      none       0.0299       0.4143
0646+563         5      none      -0.2598      -0.0746
0701-130         5      none       0.2618       0.4792
0708-204         6      none      -0.6390      -1.1474
0718+157         5      none      -0.0639       0.0706
0729+146         5      none      -0.3865      -0.0853
0734-072         5      none      -0.1684       0.0162
0802-170         4      none       0.0153      -0.1055
0804-172         5      none      -0.0211      -0.2615
0807+103         5      none       0.0637      -0.6254
0815-094         5      none      -0.1249      -0.1670
0822-243         5      none      -0.0315       0.2034
0846+513         5      none       0.0401       0.0310
0851+719         5      none      -0.1894       0.0003
0858+050         5      none      -0.0697       0.2607
0907-179         5      none      -0.0666       0.2094
0912-273         6      none       0.0892      -0.2118
0920+313         5      none      -0.0347      -0.0353
0922+364         5      none       0.0500       0.0036
0928-100         5      none       0.0060      -0.2674
0930-200         6      none       0.0283      -0.4173
0930+396         5      none       0.0515       0.0047
0940+364         5      none       0.0358       0.0318
0943+593         5      none       0.3245       0.1551
0951+488         5      none       0.1227       0.1303
1008+013         5      none      -0.1297      -0.2138
1013+014         5      none      -0.1762      -0.1374
1023+747         5      none      -0.5734       0.0723
1029-041         5      none       0.0327       0.0825
1035+430         5      none      -0.0886       0.0148
1059+229         5      none      -0.1763       0.0094
1109+350         5      none       0.0179       0.0904
1119-044         5      none       0.1535       0.1292
1124-056         5      none       0.1098       0.2971
1130+005         9      none      -0.0582      -0.1829
1133+344         5      none      -0.1733       0.1177
1138-120         5      none      -0.2697      -0.1727
1146+286         5      none      -0.1042       0.0025
1150-050         5      none       0.0727       0.1339
1157+532         6      none       0.2009      -0.1500
1204-267         5      none       0.2391      -0.0243
1224+439         5      none       0.0159       0.0375
1229-099         8      none       0.0006       0.2281
1247+025         6      none      -0.1974       0.1851
1248-170         6      none      -0.1414       0.1802
1253-216         5      none       0.0038       0.2295
1259+468         5      none       0.0905      -0.0126
1312+126         5      none       0.0777      -0.2530
1343+451         5      none      -0.0117       0.0160
1347-163         5      none       0.1576      -0.3798
1354-107         9      none       0.0096      -0.1339
1356+478         5      none      -0.1976      -0.0622
1412-097         6      none       0.0989       0.0658
1438+021         5      none      -0.0300       0.0713
1451+106         5      none      -0.0395       0.2888
1452+301         5      none      -0.1446       0.0066
1500+045         6      none      -0.0189       0.0806
1505-156         8      none       0.1738      -0.6350
1523-042         6      none       0.0269      -0.3357
1536+057         5      none       0.3910       0.5248
1539-111         5      none       0.1253      -0.0262
1544-095         6      none      -0.0556      -0.0097
1558+595         5      none       0.0145       0.1910
1602+195         5      none       0.0822       0.1368
1606-219        10      none      -0.6110       0.8180
1614+042         5      none      -0.8378      -0.3547
1628+071         5      none       0.0250       0.1331
1630-107         5      none       0.2268      -0.0477
1637+166         5      none      -0.5516       0.3207
1639-287         5      none      -0.5452      -0.1415
1649+216         5      none      -0.0701      -0.0125
1701+016         5      none      -0.0595       0.1256
1705+188         5      none       0.0305       0.1151
1709-182         6      none      -0.0043      -0.0369
1714+193         5      none       0.0051       0.0359
1724+066         5      none      -0.1174       0.0909
1732-059         5      none       0.0225      -0.2178
1805+220         5      none       0.0599      -0.0613
1851+331         6      none      -0.0621      -0.1624
1905+222         8      none       0.0399      -0.0421
1917+495         5      none       0.1987      -0.0210
1927+090         5      none       0.0119      -0.3499
1959+241         5      none      -0.1786      -0.1131
2004-125         5      none      -0.0578      -0.1046
2013-273         7      none      -0.3214      -0.1480
2020-122         5      none       0.4831       0.7152
2021+003         4      none      -0.2034       0.2053
2036-034        10    define      -0.0657      -0.2012
2043+156         7      none      -0.0604      -0.0521
2047-266         6      none      -0.0515       0.1352
2103+023         5      none      -0.0776       0.0584
2118-037         5      none       0.1529      -0.4653
2122-148         7      none       0.1209      -0.2099
2137+130         5      none       0.0824       0.0309
2141+333         5      none      -0.0499       0.0333
2151-152         6      none      -0.1369      -0.0410
2156-013         5      none       0.1789      -0.0266
2203+292         7      none      -0.0230      -0.0985
2208+199         5      none      -0.0130      -0.1234
2210+361         5      none       0.1757      -0.2185
2228-146         6      none      -0.0177       0.2299
2235+071         5      none       0.1565      -0.0653
2245-091        10      none       0.0783      -0.5153
2250+323         5      none       0.0132      -0.0394
2301-103         7      none       0.1789       0.2024
2315+287         5      none       0.0036       0.4069
2321-065         8      none       0.0169      -0.7370
2325+152         5      none      -0.2764      -0.0029
2337-234         6      none       0.0462      -0.1410
2340-226         6      none       0.1660      -0.3263
2345+270         5      none       0.1119      -0.2106
2347+079         5      none       0.0551      -0.0909
2354-251         5      none      -0.0831       0.2338
1143-696        39    define      -0.0871      -0.0439
1156-663        31      none      -0.1307      -0.0855
1448-648        25    define       0.1255       0.0247
1611-710        34      none      -0.0722      -0.0729
1725-795        29      none      -0.0320       0.0241
1824-582        52      none       0.1298      -0.0354
1929-457        28    define      -0.0035      -0.0984
1928-698         9      none      -0.1809       0.2724
2030-689        15      none      -0.1284      -0.2618
2123-463        44      none       0.0396      -0.0992
2236-572        73    define      -0.0754      -0.0214
2239-631         3      none      -0.2942      -0.2442
2333-415        64      none       0.0621      -0.0856
2344-514        32      none      -0.0364       0.0154
0009+467         5      none      -0.0432       0.0539
0015-280         5      none      -0.1913       0.1090
0035-037         7      none      -0.0129       0.3740
0046+861         5      none      -0.8974      -0.1724
0050-287         5      none      -0.0881       0.2852
0054-006         8      none      -0.0242       0.0260
0104-035         5      none      -0.0159      -0.0537
0120+304         5      none      -0.0423      -0.1842
0123+731         5      none       0.3648      -0.0589
0135-274         5      none       0.1212      -0.0489
0139-022         5      none       0.0962      -0.0968
0149-175         5      none       0.0128      -0.1144
0154-000         5      none      -0.0062       0.0898
0158-159         5      none      -0.3467       0.6224
0209-162         5      none       0.0199      -0.1398
0223+113         7      none      -0.1730      -0.0471
0228-163         5      none       0.2921      -0.2702
0236+420         6      none       0.0736       0.0277
0244+327         5      none       0.0343      -0.0266
0310+022         5      none      -0.2100       0.2649
0329-255         5      none      -0.0518       0.3656
0339+683         5      none      -0.3829      -0.0414
0358-162         5      none       0.0051       0.2535
0409+527         5      none      -0.0103      -0.1349
0422+079         5      none      -0.0133      -0.0687
0446-096         5      none       0.0114      -0.1175
0501-067         5      none       0.7441      -1.5398
0514-156         5      none       0.4305       0.1778
0534+510         5      none       0.0079      -0.0659
0615-172         5      none      -0.0823      -0.3950
0619+334         5      none      -0.0536      -0.0438
0630+367         5      none      -0.0702       0.2573
0638+528         5      none       0.0592      -0.1599
0650+507         5      none      -0.1010      -0.0098
0705+377         5      none       0.1424       0.1459
0737+289         5      none      -0.1148      -0.1930
0748+019         5      none      -0.1071      -0.1797
0757+441         5      none      -0.1054      -0.1046
0802+115         5      none       0.0001      -0.1593
0811-179         5      none      -0.2428      -0.0448
0816+279         5      none      -0.0707      -0.1394
0822+086         5      none       0.0965      -0.0404
0850-152         5      none      -0.1051      -0.2550
0857+413         5      none      -0.0434      -0.0860
0858+542         5      none       0.1254      -0.0159
0909+445         5      none      -0.1395      -0.1775
0921+454         5      none       0.7017       0.1267
0932+197         5      none      -0.0409      -0.1850
0936-069         5      none      -0.0210      -0.0520
0949+510         5      none       0.4458      -0.1312
1007+066         6      none      -0.2289       0.0827
1020-097         5      none      -0.1353      -0.2811
1025+242         5      none       0.0173      -0.0323
1029-137         5      none      -0.2382      -0.0803
1038+212         5      none      -0.1638       0.0545
1106+084         6      none      -0.0745       0.1262
1119-069         5      none      -0.0371       0.3400
1121-147         5      none      -0.1492      -0.6333
1137-272         5      none       0.0517       0.2056
1139+160         5      none      -0.2532       0.3879
1147+067         5      none      -0.0013      -0.3682
1153-100         5      none      -0.0600      -0.0866
1158+007         7      none       0.1279      -0.1533
1205+011         6      none      -0.1811      -0.1929
1225+498         5      none       0.1251       0.0978
1247+139         5      none       0.1161      -0.0717
1252+028         5      none       0.0203       0.1908
1329-126         9      none      -0.1057       0.1114
1341-171         6      none       0.1056       0.0201
1349-275         5      none       0.0130      -0.3089
1353-171        10      none       0.0164       0.2336
1409+373         5      none       0.1043       0.0901
1448-232         9      none      -0.2665       1.2385
1451+352         5      none      -0.0904      -0.0005
1455+098         6      none      -0.0332       0.1846
1457-237         5      none       0.0714       0.0684
1506-074         5      none      -0.0431      -0.2735
1529-131         8      none       0.0073       0.1223
1537+312         5      none       0.0820       0.0812
1541-230        10      none      -0.0304      -0.2302
1547-054         5      none      -0.1026      -0.0235
1554+185         5      none       0.1947      -0.4001
1557-053         6      none      -0.1127       0.1852
1604+183         5      none      -0.0235       0.1270
1614-112         5      none      -0.0524      -0.1306
1630-258         6      none       0.1265       0.0251
1638+118         5      none      -0.0465       0.1911
1653+426         5      none       0.0492      -0.1822
1657+022         5      none       0.0136      -0.0365
1704+099         6      none      -0.0165      -0.0218
1710+542         5      none       0.1604       0.0164
1715-287         5      none       0.0684       0.0286
1724+322         5      none      -0.0804      -0.0089
1735-150         5      none      -0.0431       0.2169
1741+196         5      none      -0.1379       0.1164
1749+062         5      none      -0.0239       0.0632
1756+061         5      none      -0.0003       0.0403
1805+310         5      none       0.0433      -0.0157
1821+114         5      none      -0.1546      -0.0899
1909-194         6      none      -0.0572       0.0509
1914-194         7      none      -0.0063       0.1482
1917-248        10      none      -0.0789       0.6201
1928+770         5      none       1.5421      -0.0614
1934+615         5      none       0.0329       0.0939
1939+429         5      none       0.1341       0.0597
1957+386         5      none       0.1436       0.1141
2028+368         8      none       0.9614      -0.9419
2034-155         9      none       0.0487      -0.4571
2040-225         7      none       0.0693      -0.3678
2105-293         5      none       0.0833      -0.4357
2116+543         5      none       0.1430       0.0769
2134+428         5      none       0.1991       0.0195
2137-196         8      none      -0.2845       0.4272
2153+190         5      none       0.0099      -0.0043
2154-037         5      none       0.2917      -0.2893
2211-256         5      none      -0.8115      -1.8332
2217+214         5      none      -0.5484      -0.3199
2233-234         6      none       0.1124      -0.1960
2235+275         5      none       0.0295      -0.1235
2242+257         5      none       0.1378       0.0168
2256-084        10      none       0.0772      -0.0247
2321-164         6      none       0.0209       0.0448
2325+799         5      none      -0.5015      -0.2240
2337-011         5      none       0.0997       0.1649
2344+514         5      none       0.0090      -0.0408
2349-223         5      none      -0.0406       0.2261
2355+042         7      none       0.0236      -0.0819
0358+040         6      none      -0.1576       0.0496
0009+081        11      none       0.0401      -0.0176
0506+056        22      none       0.0360       0.1452
1308+554        66      none       0.0439       0.1188
1514+004        12      none      -0.0448       0.1838
2239+096        46      none      -0.0337      -0.0537
2325+093       170      none      -0.1198      -0.0990
2115-305         4      none      -0.8652       0.8407
0649-209         5      none      -0.1384      -0.1276
0446+595         5      none      -0.1230      -0.0176
1441+522         5      none       0.1100       0.0570
1509+022         6      none      -0.1642       0.2555
1827-272         5      none      -0.1333      -0.1467
2005-044         6      none       0.0334      -0.1467
2324-023         6      none      -0.0124      -0.0519
0157+808         6      none      -0.2308      -0.1861
0258+772         1      none      -0.2131      -0.2309
0623+803         1      none       0.0672      -0.0753
1154+815         6      none       0.6270       0.3987
1616+851         3      none       1.9028       0.4703
1612+797         6      none       2.3506       0.4012
1727+771         6      none       0.0986      -0.0595
1836+807         7      none       1.0610       0.0024
0200+751         1      none       1.7232      -1.8113
0252+818         7      none       0.6416      -3.1392
0401+820         6      none      -0.6657       0.7859
0614+761         5      none       0.1012       0.0767
0810+812         5      none      -1.1956       0.0396
0900+836         6      none       0.1311      -0.0447
1046+867         6      none      -1.5918       0.1431
1222+848         6      none       1.4328       0.3509
1231+811         6      none       0.5067       0.1778
1305+770         7      none      -0.0110       1.7185
1400+839         6      none       0.5209       0.3748
1540+820         3      none       3.9865       1.4894
1728+774         6      none       0.4805      -0.8335
2043+749         6      none       0.3432       0.0589
2318+886         5      none      -7.1543       0.7591
2323+790         7      none      -2.6571       0.7350
0438+824         6      none      -0.4286      -0.4651
0759+779         5      none       0.0284      -0.0420
1305+804         6      none       0.1862       0.2000
1322+850         6      none       0.8092       0.1198
1726+769         5      none       0.5398       0.2121
1828+829         6      none       2.6998       0.0012
1845+79A         1      none       1.2248       0.3976
1944+838         6      none       0.1684      -0.0158
2023+760         5      none       1.4775       0.0294
2046+762         6      none       0.2147      -0.1002
2116+818         6      none      -0.1925      -0.0060
2135+842         6      none      -0.3358       0.1432
2242+821         6      none      -0.7864       1.2229
0125+628         5      none      -0.1815      -0.1478
0835-339         5      none      -0.0425       0.0627
1640-231         6      none       0.1480       0.1939
1825-055         5      none       4.0990      -6.1293
1708+433         6      none       0.0378       0.0715
1901+016         5      none       0.0539      -0.0819
0000-199         5      none      -0.0306      -0.1939
0007+439         5      none       0.2213       0.1754
0008-300         5      none      -0.1328      -0.1814
0010-155         5      none       0.1659       0.0458
0022-227         5      none       0.0036      -0.0851
0034-220         5      none       0.3823       0.0399
0036-099         5      none      -0.0210      -0.0301
0105+129         6      none       0.1590      -0.0342
0137+434         5      none       0.1147      -0.1742
0150-193         5      none      -0.0687      -0.0535
0155+211         5      none      -0.0807      -0.0915
0210+366         5      none       0.2239      -0.0628
0213+051         5      none       0.1156      -0.2146
0238+711         3      none      -0.1568       0.0581
0243+354         6      none       0.0771      -0.0342
0314+696         4      none       0.4433       0.0027
0320+045         5      none      -0.1870       0.0871
0334-207         5      none       0.0008       0.0646
0349+662         5      none       0.0121      -0.0767
0419+308         5      none       0.3378       0.2237
0511-203         5      none       0.0308       0.2715
0518+705         4      none       0.1917       0.1371
0540+529         6      none       0.3305      -0.2960
0548+689         5      none      -0.9038      -0.2635
0602+780         5      none      -0.5508      -0.2092
0614+421         5      none       0.1304      -0.0883
0629-128         5      none      -0.0678      -0.0041
0641-248         5      none      -0.0946       0.1863
0705+350         5      none      -0.0458       0.0968
0708+742         5      none      -0.0438       0.1288
0746+110         5      none      -0.1708      -0.1716
0753+519         4      none       0.0937       0.1646
0822-152         5      none       0.0072      -0.1649
0826+180         5      none       0.2426       0.0225
0833+218         6      none      -0.0884      -0.0635
0839+687         4      none      -0.1984      -0.0193
0847+807         5      none      -0.2203       0.1868
0910+442         5      none      -0.1770      -0.2482
0926-181         6      none       0.2867       0.2048
0941+206         5      none       0.0811      -0.0096
0957-082         5      none       0.1338      -0.0854
1009-041         5      none      -0.1991      -0.0872
1016+635         4      none      -0.0513       0.1811
1026+055         6      none      -0.0357       0.2358
1051+397         6      none       0.2498       0.1686
1101+609         4      none      -0.2741       0.2191
1116+603         4      none       0.1078       0.1832
1200+608         5      none      -0.3019      -0.0571
1238+702         4      none       0.1411      -0.0364
1245+676         4      none       0.1489       0.1328
1252+092         5      none      -0.3872       0.8301
1311+552         4      none       0.0080       0.2098
1319+220         5      none      -0.1725      -0.0200
1322-110         9      none      -0.1068      -0.1320
1330-236         5      none      -0.0023      -0.0339
1341+691         4      none      -0.2259       0.0278
1400+588         5      none      -0.7889       0.2738
1450+641         5      none      -0.3757      -0.4505
1500+094         5      none      -0.0276       0.3383
1532+680         4      none       0.1814      -0.1968
1600+244         5      none       0.2337      -0.6502
1605-162         6      none       0.0984      -0.0635
1625+582         4      none      -0.4031       0.2535
1634+604         4      none      -0.3387      -0.0846
1655+534         5      none       0.1722       0.1263
1658+037         5      none       0.0407      -0.0400
1706+338         5      none       0.0172      -0.0458
1726-269         7      none      -0.1842      -0.3340
1738+197         5      none       0.0087       0.1205
1745+085         5      none      -0.1162       0.2442
1753-144         5      none      -0.2044       0.0550
1812+560         4      none       0.1153      -0.1164
1817+157         5      none       0.0205       0.1914
1822+682         4      none      -0.0659       0.0700
1850+143         5      none       0.0774       0.2128
1902+556         4      none       0.1833       0.0472
1906-217        10      none      -0.0667      -0.1163
1919+434         5      none      -0.1620       0.2978
1936+095         4      none       0.0867      -0.4454
1946+396         5      none       0.0224       0.0943
1959-169         6      none       0.2247       0.1814
2007+747         5      none       1.5952      -0.0102
2027-065         5      none      -0.0496      -0.0568
2039+037         5      none      -0.0113       0.2886
2101+600         4      none      -0.2850      -0.1149
2148-279         5      none       0.0346       0.1777
2201+676         4      none       0.2262      -0.0405
2216-275         5      none       0.0046      -0.7919
2233-186         5      none       0.1812      -0.1713
2236+678         9      none       0.6335      -0.1401
2247-283         5      none       0.0042      -0.2031
2307+680         4      none       0.5407      -0.1947
2331+073         5      none       0.0538      -0.0927
0003+123         5      none      -0.2092      -0.2300
0005+683         5      none       0.9140      -0.2532
0009-148        19    define       0.0856      -0.1310
0013-184         5      none       0.0375       0.0337
0018+729         4      none       0.0128      -0.1248
0033+143         5      none      -0.0173       0.0382
0038+133         5      none      -0.0786       0.1000
0100-270         5      none       0.1210       0.1513
0107-045         6      none      -0.0201      -0.2539
0119-011         5      none       0.0355      -0.1319
0129+220         5      none       0.0147      -0.0359
0144+584         8      none       0.5473       0.1585
0203-120         5      none       0.0617      -0.2663
0210+119         7      none       0.0650      -0.0832
0210+515         5      none      -0.0825       0.0779
0214-105         5      none      -0.0281      -0.0542
0230-288         5      none       0.6683      -0.3908
0242-113         5      none       0.0781       0.1330
0317+659         4      none       0.1517      -0.0070
0325+256         5      none       0.0021      -0.1029
0338-030         5      none      -0.0011      -0.1316
0407-199         6      none      -0.1290      -0.6681
0416-216         5      none       0.0438      -0.3949
0423+297         5      none      -0.0511      -0.2146
0446-265         5      none      -0.0097      -0.0702
0503-043         5      none      -0.0342      -0.1613
0508+264         6      none       0.0195      -0.5148
0516-249         5      none       0.0692      -0.0234
0522-283         5      none       0.1368      -0.1121
0537+558         5      none      -0.0934      -0.0596
0544+123         5      none       0.0277      -0.0199
0550+356         5      none       0.0102      -0.0499
0605-153         6      none       0.1054      -0.3811
0607+624         5      none      -0.1160      -0.1715
0620-194         5      none      -0.1302      -0.6804
0635-296         5      none      -0.0104       0.4241
0641+292         5      none      -0.1265      -0.1927
0653+322         5      none      -0.0953       0.0535
0702+400         5      none       0.1130      -0.1457
0728-054         5      none       0.0954       0.2051
0748-006         5      none      -0.0989      -0.2235
0758+594         4      none       0.1103       0.1792
0905+420         5      none       0.1771      -0.2307
0913+003         5      none      -0.3164      -0.3448
0928+280         5      none      -0.0437       0.2494
1004+054         5      none      -0.0442      -0.1043
1047+147         5      none       0.0482       0.0042
1059+599         4      none      -0.0652       0.2462
1121+234         5      none       0.1231       0.1595
1146+362         5      none      -0.1486       0.1057
1154+069         5      none      -0.1833       0.0693
1207-120         5      none       0.6833       0.8593
1219-164         5      none       0.0449      -0.0096
1245+710         5      none       0.0990       0.1088
1257+519         4      none      -0.0615       0.1316
1305-247         5      none       0.0867      -0.5451
1315-058         8      none       0.0618       0.0557
1322-078         6      none      -0.0020      -0.0248
1338+362         5      none      -0.1604       0.1546
1343+386         5      none      -0.3980      -1.2698
1400-184        10      none       0.0177       0.1061
1458+088         5      none       2.6129      -0.7699
1519+181         5      none       0.4488       0.1417
1528+381         5      none       0.0144       0.1027
1634+600         5      none       0.3572      -0.2100
1700+685         4      none       0.2403      -0.0598
1718+384         5      none       0.0678       0.0995
1724+609         4      none      -0.0278       0.0159
1727-052         5      none      -0.4227      -0.2477
1734-228         7      none      -0.1167       0.0284
1742-088         5      none      -0.2573       0.2478
1825+266         5      none       0.2524      -0.0655
1837+409         5      none       0.1147      -0.0150
1851+609         4      none       0.3476       0.2558
1855+163         5      none       0.0574       0.1582
1918+267         4      none       0.0968       0.1658
1932-161         5      none       0.8095       0.3525
1959+067         6      none      -0.1607      -0.1404
2003+662         4      none       0.0819      -0.0868
2044-188         6      none      -0.2012       0.0048
2059+560         5      none       0.2522      -0.1734
2114+053         5      none       0.0304      -0.1520
2119+664         4      none       0.1142       0.0177
2139-249         5      none       0.1514      -0.1258
2147-284         5      none       0.0161       0.2794
2207+087         5      none       0.1008      -0.0406
2210+277         5      none       0.1396      -0.0075
2217-011         5      none      -0.0545       0.1331
2234+420         5      none      -0.0870       0.0315
2253+227         5      none       0.0591      -0.5313
2300+142         5      none       0.0678      -0.1387
2314-182         5      none      -0.6682      -0.8307
2316+238         8      none       0.0458      -0.0040
0035-024         5      none       0.2334      -0.0753
0456+060         5      none       0.0817      -0.2744
0459+252         7      none      -0.1538      -0.0613
0812+020        40      none       0.0295      -0.0727
1142+052         8      none       0.0828      -0.0007
1200+045         5      none      -0.2048       0.0277
1337-033         5      none      -0.0719       0.0045
1721+343         5      none      -0.0956      -0.1504
0828-222         5      none      -0.4533       0.0526
1013+127        65      none      -0.0025      -0.0022
0047+023        48    define      -0.0581      -0.0213
0332+078       247      none       0.0102      -0.0486
0943+105        88    define       0.0001       0.0063
1013+054       136      none      -0.0048      -0.0267
1015+057       142    define       0.0053      -0.0247
1456+044       127      none       0.0203       0.0333
1601+112        76      none       0.0726       0.0232
1615+029       119      none      -0.0013      -0.1078
2215+020        23      none       0.1107       0.0113
2243+047        55      none       0.0219      -0.0162
2307+106       165      none       0.0402      -0.0204
0325+395        29      none       0.0458      -0.0238
0645+209         5      none       0.1183      -0.2236
0906-048         5      none      -0.2235       0.7248
1003+351         5      none      -0.4253       0.1247
1541+050         5      none      -0.1528       0.3167
1648+084         5      none       0.1095      -0.2198
1745+670         9      none       0.1922       0.0987
1822+033         5      none      -0.0310       0.2136
0057-338         4      none       0.0611      -0.1727
0913+657         5      none       1.3314       0.2582
0939+620         5      none      -0.3418      -0.0425
1239+552         5      none      -0.1727      -0.1601
2027-035         5      none       0.0196      -0.0365
0037-593         9      none       0.4756      -0.3524
0214-522         4      none      -0.1335      -0.1967
0542-735         7      none      -0.5987       0.5364
0744-691         4      none       0.5782      -0.2417
0903-573        14      none       0.0595       0.0184
1005-739         7      none       0.3236      -0.1633
1049-650         1      none      -0.8127      -0.1525
1133-739         4      none      -1.8511       0.3091
1221-829        26      none      -0.6317       0.0558
1417-782         7      none      -0.8967       0.2254
1508-656         1      none       0.0884       0.3026
1540-828        11      none       0.4905       0.0117
1637-771         4      none      -3.7116       0.5075
0121+560         6      none       0.2025      -0.2571
0216+011        36      none       0.0020      -0.1473
0418+532        84      none       0.2570      -0.0837
0928+008         5      none       0.0174       0.2183
1131+730         4      none       0.9573       0.3326
1212+087         4      none      -0.0799      -0.2270
1356+022         5      none      -0.0585       0.0964
1406+564         5      none      -0.1477       0.1569
1734+063         8      none      -0.0538      -0.0709
2206+650         5      none       0.1327       0.1452
2301+060         6      none       0.0124      -0.1408
0244-452        10      none      -0.3065       0.9588
0558-396         7      none       0.1186      -0.2205
0625-354         5      none       0.1475      -0.5242
0918-297         7      none      -0.1255      -0.1256
1046-409        25      none      -0.1003       0.0188
1251-197        41      none       0.0846      -0.0473
1333-337        32      none       0.9029      -1.3369
1404-342         7      none       0.0650      -0.3840
1531-352        14      none       0.0524      -0.1605
1645-329         8      none      -0.0601      -0.0136
1705-353         5      none      -1.0259       0.9922
1710-323        11      none      -0.0182      -0.1765
0633-26B         6      none       0.0881      -0.5631
0804-153         5      none       0.0553       0.0651
0806-153         6      none      -0.3028       0.0685
1147-192         6      none      -0.0442      -0.0539
1156-214         9      none      -0.0603       0.0735
1223-188         5      none      -0.0052       0.1897
1333-152        30      none       0.0829      -0.0923
1600-294         5      none      -0.1119      -0.1427
1614-255         7      none      -0.0352      -0.0062
1905-297         9      none      -0.3291      -0.6461
1925-206         8      none      -0.1495      -0.1189
0613+570       490    define      -0.0467      -0.0289
1823+689        97    define       0.2158       0.0075
0316-444        17    define      -0.0553       5.2570
0632-183         5      none      -0.1196       0.3746
0648-287         6      none      -0.0282       0.1458
0733-187         6      none      -0.3414      -0.3488
1418-192         7      none      -0.0038       0.0102
1639-200        10      none      -0.2947       0.0204
1718-259        24    define      -0.0245       0.1035
1845-273         7      none       0.0049       0.2698
2056-369         7      none      -0.1805      -0.3098
2314-409        46      none       0.0544      -0.0498
2329-415        48      none       0.0424      -0.0929
1623+578       362    define       0.0455       0.0581
0027+056        10      none       0.0183       0.0721
0246+061         6      none       0.1102      -0.3321
0907+022         4      none      -0.0978      -0.2252
1124+571         5      none      -0.0502       0.1054
1317+019         4      none      -0.0375       0.2284
1335+552         7      none      -0.2025      -0.1164
1526+670         8      none       0.0709       0.0804
1755+578         6      none       0.0783      -0.0449
1801+010        19      none       0.0489      -0.3998
1936+714         9      none       0.2675      -0.0461
2022+031         4      none      -0.2303       0.1083
2259+058         6      none      -0.0321      -0.0946
0039+568         5      none      -0.0980       0.0352
0258+011         6      none       0.0585      -0.0209
0355+055         5      none       0.0759      -0.0596
0510+559        16    define       0.1262       0.0219
0604+728         7      none      -1.3748       0.0107
0859+681         6      none      -0.1191      -0.0815
1143+590         4      none       0.2917      -0.0651
1200+068         6      none       0.1920      -0.0135
1317+520         6      none       0.1433       0.0957
1442+637         5      none      -0.0290       0.1533
1722+526         5      none       0.1478      -0.0721
